Origem do Pedido,Marca,UNIDADE,Data de solicitação,Data da compra,CNPJ,ITEM,Nº do Pedido,Comprador,Nº cotações,Fornecedor,Previsão de Entrega,Pedido Recebido na Unidade,Status da Entrega,Valor,Natureza do Item,Natureza Orçamentária,Centro de Custo,Condição de Pgto.,Observação,NF,Forma de Pagto,Fluig,Data de Pagamento,Competencia certa?,Pagamento realizado com multa?,Valor da multa,Data da Aprovação,Responsável Pgto,Ocorrência,Mês da Ocorrência,Nova data de entrega,Situação,Mês,Mês2,Ano,SLA Pedidos Emergenciais,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,CARTEIRAS DIVERSAS,12338,Julliene Serapião,Contrato,Minas Brasil,06/01/2024,Sim,Entregue,106.020,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,05746,Boleto,915836,,,,,,Patrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Idesa Taubaté,28/11/2023,29/11/2023,05.749.349/0001-44 EI  / 96.490.255/0001-59 EM  / 07.142.438/0001-53 EF2 / 65.420.960/0001-56 EF1 / 35.301.473/0001-03 MD ,1 Carteira PNE / 100 Carteira Univer. BM2002,12333,Patrício Luã,Contrato,Minas Brasil,06/01/2024,Sim,Entregue,40.423,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,01251,Boleto,Pago por integrações,,,,,,,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Idesa Taubaté,28/11/2023,29/11/2023,05.749.349/0001-44 EI  / 96.490.255/0001-59 EM  / 07.142.438/0001-53 EF2 / 65.420.960/0001-56 EF1 / 35.301.473/0001-03 MD ,Quadro Gestão / Mural de aviso / Quadro 400x120,12336,Patrício Luã,Contrato,City Quadros(alumplex),06/01/2024,Sim,Entregue,15.146,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,02681,Boleto,,,,,,,Pago por integraçãoes,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,PROJETORES EPSON,12339,Julliene Serapião,3,Rio conect,06/01/2024,Sim,Entregue,21.530,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,75740,Boleto,922876,,,,,,Paula,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
,Elite,Elite Taboão da Serra,10/01/2024,,20.265.832/0001-47,,14623,,,BrSupply,,,,3.200,,Equipamentos em Geral,,,,361500,Boleto,975201,,,,,,geovana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,BEBEDOURO,12342,Julliene Serapião,3,Acqua Gelata,20/01/2024,Sim,Entregue,11.800,Ativos,Obra de Ampliação,Escola - Unidade,30 DIAS,,45741,Boleto,929216,,,,,,Patrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
Emergencial,Alfa,Alfa Joinville,24/05/2024,,14.011.425/0046-02,PROJETOR - GOLDENTEC (220V),1006923,Julliene Serapião,,IByte,,,,6.297,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,158149,Depósito,1028109,,,,,,Patrícia,,,,,5,maio,2024,-1,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,MOVEIS,12343,Julliene Serapião,Contrato,Petrovetti,16/01/2024,Sim,Entregue,8.220,Ativos,Obra de Ampliação,Escola - Unidade,30 DIAS,,15105,Boleto,917768,,,,,,Patrícia,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
NU,Elite,Elite Jundiaí,29/11/2023,29/11/2023,,PROJETOR EPSON,12344,Julliene Serapião,3,Rio conect,06/01/2024,Sim,Entregue,3.076,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,75730,Depósito,922783,,,,,,Paula,,,,,11,novembro,2023,0,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante São José dos Campos,28/11/2023,29/11/2023,09.414.059/0001-09,MESA TOTÓ,12349,Julliene Serapião,Contrato,OPS Sports,20/01/2024,Sim,Entregue,3.050,Ativos,Obra de Ampliação,Escola - Unidade,28 DIAS,,00504,Depósito,920333,,,,,,Paula,,,,,11,novembro,2023,1,,,,,,,,,,,,,,,,,,,,,
